The Martian,2015-09-30,108000000,"Matt Damon, Mark Watney, Jessica Chastain, Melissa Lewis, Jeff Daniels, Teddy Sanders, Sean Bean, Mitch Henderson, Chiwetel Ejiofor, Vincent Kapoor, Donald Glover, Rich Purnell, Kristen Wiig, Annie Montrose, Michael Peña, Rick Martinez, Kate Mara, Beth Johanssen","Drama, Adventure, Science Fiction",7.678
Back to the Future,1985-07-03,19000000,"Michael J. Fox, Marty McFly, Christopher Lloyd, Emmett Brown, Lea Thompson, Lorraine Baines, Crispin Glover, George McFly, Thomas F. Wilson, Biff Tannen, Claudia Wells, Jennifer Parker, Marc McClure, Dave McFly, Wendie Jo Sperber, Linda McFly, George DiCenzo, Sam Baines","Adventure, Comedy, Science Fiction",8.314
Star Wars: The Force Awakens,2015-12-15,245000000,"Harrison Ford, Han Solo, Mark Hamill, Luke Skywalker, Carrie Fisher, General Leia Organa, Adam Driver, Kylo Ren / Ben Solo, Daisy Ridley, Rey, John Boyega, Finn, Oscar Isaac, Poe Dameron, Lupita Nyong'o, Maz Kanata, Andy Serkis, Supreme Leader Snoke","Adventure, Action, Science Fiction, Fantasy",7.293
Spider-Man: No Way Home,2021-12-15,200000000,"Tom Holland, Peter Parker / Spider-Man, Zendaya, Michelle 'MJ' Jones, Benedict Cumberbatch, Stephen Strange / Doctor Strange, Jacob Batalon, Ned Leeds, Jon Favreau, Harold 'Happy' Hogan, Jamie Foxx, Max Dillon / Electro, Willem Dafoe, Norman Osborn / Green Goblin, Alfred Molina, Dr. Otto Octavius / Doctor Octopus, Benedict Wong, Wong","Action, Adventure, Science Fiction",7.99
Harry Potter and the Order of the Phoenix,2007-07-08,150000000,"Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Imelda Staunton, Dolores Umbridge, Helena Bonham Carter, Bellatrix Lestrange, Robbie Coltrane, Rubeus Hagrid, Ralph Fiennes, Lord Voldemort, Michael Gambon, Albus Dumbledore, Jason Isaacs, Lucius Malfoy","Adventure, Fantasy, Mystery",7.686
Harry Potter and the Half-Blood Prince,2009-07-15,250000000,"Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Michael Gambon, Albus Dumbledore, Tom Felton, Draco Malfoy, Jim Broadbent, Horace Slughorn, Robbie Coltrane, Rubeus Hagrid, Alan Rickman, Severus Snape, Maggie Smith, Minerva McGonagall","Adventure, Fantasy",7.697
Logan,2017-02-28,97000000,"Hugh Jackman, Logan / Wolverine / X-24, Dafne Keen, Laura / X-23, Patrick Stewart, Charles Xavier / Professor X, Elizabeth Rodriguez, Gabriela, Boyd Holbrook, Pierce, Stephen Merchant, Caliban, Richard E. Grant, Dr. Rice, Stephen Dunlevy, Macon, Eriq La Salle, Will Munson","Action, Drama, Science Fiction",7.8
Finding Nemo,2003-05-30,94000000,"Albert Brooks, Marlin (voice), Ellen DeGeneres, Dory (voice), Alexander Gould, Nemo (voice), Willem Dafoe, Gill (voice), Brad Garrett, Bloat (voice), Allison Janney, Peach (voice), Austin Pendleton, Gurgle (voice), Stephen Root, Bubbles (voice), Vicki Lewis, Deb / Flo (voice)","Animation, Family",7.824
It,2017-09-06,40000000,"Jaeden Martell, Bill Denbrough, Bill Skarsgård, It, Jeremy Ray Taylor, Ben Hanscom, Sophia Lillis, Beverly Marsh, Finn Wolfhard, Richie Tozier, Chosen Jacobs, Mike Hanlon, Jack Dylan Grazer, Eddie Kaspbrak, Wyatt Oleff, Stanley Uris, Nicholas Hamilton, Henry Bowers","Horror, Fantasy",7.242
John Wick,2014-10-22,20000000,"Keanu Reeves, John Wick, Michael Nyqvist, Viggo Tarasov, Ian McShane, Winston, John Leguizamo, Aurelio, Willem Dafoe, Marcus, Alfie Allen, Iosef Tarasov, Dean Winters, Avi, Adrianne Palicki, Ms. Perkins, Lance Reddick, Hotel Manager / Charon","Action, Thriller",7.421
